title	type	url_slug	venue	date	location	talk_url	description
"Diversity, Phylogeny, and Antimicrobial Nature of Bile Acid Conjugation within the Lachnospiraceae"	Talk	talk-1	Anaerobe Congress 2022	7/20/2022	"Seattle, WA"		"This is a description of your talk, which is a markdown files that can be all markdown-ified like any other post. Yay markdown!"
							
							
							
